University,Category,Program Name,Degree,Program Rating,Tuition,Location (city),Admission average,Full time status,ENG4U,MHF4U,MCV4U,SCH4U,SPH4U,ICS4U,Supplementary application,Co-op,URL to program website
Algoma University,Computer Science,Computer Science,Bachelor of Computer Science,4.2,6839.18,Sault Ste. Marie,65-69,true,65,65,65,-1,-1,-1,false,true,https://algomau.ca/academics/programs/computer-science/
Brock University,Computer Science,Computer Science ,Bachelor of Science,4.5,8880.40,St. Catherines,75-79,true,0,70,70,-1,-1,RECOMMENDED,false,false,https://brocku.ca/programs/undergraduate/computer-science/
Brock University,Mathematics,Mathematics and Statistics,Bachelor of Science Honours in Mathematics and Statistics,3.9,6641.85,St. Catherines,70-74,true,RECOMMENDED,75,75,-1,-1,-1,false,true,https://brocku.ca/programs/undergraduate/mathematics-and-statistics/
Brock University,Mathematics,Mathematics and Statistics Accelerated,Bachelor of Science Honours in Mathematics and Statistics,6.9,6641.85,St. Catherines,70-74,true,RECOMMENDED,75,75,-1,-1,-1,false,true,https://brocku.ca/programs/undergraduate/mathematics-and-statistics/
Carelton University,Engineering,Biomedical and Electrical Engineering,Bachelor of Engineering,7,11806.57,Ottawa,75-79,false,0,60,0,60,60,-1,false,true,https://admissions.carleton.ca/programs/biomedical-and-electrical-engineering/
Carleton University,Computer Science,Bachelor of Computer Science,Bachelor of Computer Science,7.8,10330.57,Ottawa,85-89,true,-1,0,0,-1,-1,-1,false,true,https://admissions.carleton.ca/programs/computer-science/
Carleton University,Mathematics,Computational and Applied Mathematics and Statistics,Bachelor of Mathematics,6.9,7261.57,Ottawa,75-79,true,RECOMMENDED,60,60,-1,-1,-1,false,true,https://admissions.carleton.ca/programs/computational-and-applied-mathematics-and-statistics/
Carleton University,Computer Science,Network Technology,Bachelor of Information Technology,7.2,9080.57,Ottawa,75-79,true,RECOMMENDED,60,-1,-1,-1,-1,false,true,https://admissions.carleton.ca/programs/network-technology-net/
Carleton University,Mathematics,Statistics,Bachelor of Mathematics,5.5,7261.57,Ottawa,75-79,true,RECOMMENDED,0,0,-1,-1,-1,false,true,https://admissions.carleton.ca/programs/statistics/
Carleton University,Mathematics,Statistics and Economics,Bachelor of Mathematics,8.8,7261.57,Ottawa,80-84,false,RECOMMENDED,60,60,-1,-1,-1,false,true,https://carleton.ca/math/undergrad-programs-admission/
Carleton University,Mathematics,Mathematics - Combined B.Math./M.Sc,Bachelor of Mathematics/Master of Science in Mathematics,9.3,7261.57,Ottawa,75-79,true,RECOMMENDED,0,0,-1,-1,-1,false,true,https://calendar.carleton.ca/undergrad/undergradprograms/mathematicsandstatistics/
Carleton University,Mathematics,Mathematics - General,Bachelor of Mathematics,6.8,7261.57,Ottawa,75-79,true,RECOMMENDED,0,0,-1,-1,-1,false,true,https://admissions.carleton.ca/programs/mathematics/
Carleton University,Mathematics,Mathematics and Economics,Bachelor of Mathematics,7.4,7261.57,Ottawa,75-79,true,RECOMMENDED,0,0,-1,-1,-1,false,true,https://carleton.ca/economics/undergraduate-studies/b-econ-honours/concentrations/concentration-in-mathematics-and-quantitative-economics/
Carleton University,Mathematics,Mathematics and Physics,Bachelor of Science,9.5,7272.57,Ottawa,75-79,true,RECOMMENDED,60,60,-1,-1,-1,false,true,https://admissions.carleton.ca/programs/mathematics//
Carleton University,Engineering,Environmental Science,Bachelor of Science,5.2,7272.57,Ottawa,80-84,true,0,0,0,0,0,-1,false,true,https://admissions.carleton.ca/programs/environmental-science/
Carleton University,Engineering,Mechanical Engineering,Bachelor of Engineering,5.9,11806.57,Ottawa,80-84,true,60,60,60,60,60,-1,false,true,https://admissions.carleton.ca/programs/mechanical-engineering/
Carleton University,Engineering,Nanoscience,Bachelor of Science,7.4,7272.57,Ottawa,80-84,true,RECOMMENDED,60,RECOMMENDED,60,60,1,false,true,https://admissions.carleton.ca/programs/nanoscience/
Carleton University,Engineering,Software Engineering,Bachelor of Engineering,7.4,11806.57,Ottawa,80-84,true,0,60,0,60,60,-1,false,true,https://admissions.carleton.ca/programs/software-engineering-beng/
Carleton University,Engineering,Aerospace Engineering,Bachelor of Engineering,8,11806.57,Ottawa,75-79,false,60,60,60,60,60,-1,false,true,https://admissions.carleton.ca/programs/aerospace-engineering/
Carleton University,Engineering,Civil Engineering,Bachelor of Engineering Science,7.2,11806.57,Ottawa,80-84,true,-1,0,0,0,0,-1,false,true,https://admissions.carleton.ca/programs/civil-engineering/
Carleton University,Engineering,Electrical Engineering,Bachelor of Engineering,7.2,11806.57,Ottawa,80-84,true,-1,0,0,0,0,-1,false,true,https://admissions.carleton.ca/programs/electrical-engineering/
Carleton University,Engineering,Computer Systems Engineering,Bachelor of Engineering,7.2,11806.57,Ottawa,80-84,true,0,0,0,0,0,-1,false,true,https://admissions.carleton.ca/programs/computer-systems-engineering/
Carleton University,Engineering,Engineering Physics,Bachelor of Engineering,8.5,11806.57,Ottawa,80-84,true,0,0,0,0,0,-1,false,true,https://admissions.carleton.ca/programs/engineering-physics/
Carleton University,Engineering,Environmental Engineering,Bachelor of Engineering,7.2,11806.57,Ottawa,85-89,true,0,0,0,0,0,-1,false,true,https://admissions.carleton.ca/programs/environmental-engineering/
Lakehead University,Computer Science,Computer Science (Georgian College Partnership),Degree-Diploma,5.4,7021.67,Thunder Bay,70-74,false,0,0,RECOMMENDED,-1,-1,-1,false,true,https://www.lakeheadgeorgian.ca/programs/computer-science/
Lakehead University,Computer Science,Computer Science,Bachelor of Science,4.9,7021.67,Thunder Bay,70-74,true,0,0,RECOMMENDED,-1,-1,RECOMMENDED,false,true,https://www.lakeheadu.ca/programs/undergraduate-programs/computer-science/node/1110
Lakehead University,Mathematics,Mathematics (Science Program),Bachelor of Science,3.9,7241.64,Thunder Bay,70-74,true,0,0,0,0,0,-1,false,false,https://www.lakeheadu.ca/programs/undergraduate-programs/mathematics/node/3597
Lakehead University,Engineering,Environmental Sustainability,Bachelor of Arts and Science,6.3,7603.96,Thunder Bay,70-74,true,0,-1,-1,-1,-1,-1,false,true,https://www.lakeheadu.ca/programs/undergraduate-programs/environmental-sustainability/node/3358
Lakehead University,Engineering,Mechanical Engineering,Bachelor of Engineering,7.1,9059.02,Thunder Bay,70-74,true,0,60,RECOMMENDED,0,0,-1,false,true,https://www.lakeheadu.ca/programs/departments/mechanical-engineering/programs/ug
Lakehead University,Engineering,Software Engineering,Bachelor of Engineering,7.6,9059.02,Thunder Bay,70-74,true,60,0,RECOMMENDED,0,0,-1,false,true,https://www.lakeheadu.ca/programs/departments/software-engineering/programs/ug
Lakehead University,Engineering,Chemical Engineering,Bachelor of Engineering,7,9059.02,Thunder Bay,70-74,false,60,60,60,60,60,-1,false,true,https://www.lakeheadu.ca/programs/departments/chemical-engineering/programs/ug
Lakehead University,Engineering,Electrical Engineering,Bachelor of Engineering,6,9059.02,Orillia,70-74,true,0,0,0,0,0,-1,false,true,https://www.lakeheadu.ca/programs/departments/electrical-engineering/programs/ug
Laurentian University,Computer Science,Computer Science,Bachelor of Computer Science,3.3,8568.04,Sudbury,70-74,true,0,0,0,-1,-1,RECOMMENDED,false,true,https://laurentian.ca/program/computer-science
Laurentian University,Engineering,Mechanical Engineering,Bachelor of Engineering,6.1,9201.90,Sudbury,75-79,true,0,0,0,0,0,-1,false,true,https://laurentian.ca/program/mechanical-engineering
Laurentian University,Engineering,Mining Engineering,Bachelor of Engineering,7,9201.96,Sudbury,70-74,true,0,0,0,0,0,-1,false,true,https://laurentian.ca/program/mining-engineering
Laurentian University,Engineering,Chemical Engineering,Bachelor of Engineering,7,9201.96,Sudbury,70-74,false,0,0,0,0,0,-1,false,true,https://laurentian.ca/program/chemical-engineering
McMaster University,Computer Science,Computer Science,Bachelor of Applied Science,8,8980.26,Hamilton,90-94,true,0,0,0,-1,0,0,true,true,https://www.eng.mcmaster.ca/cas/programs/degree-options/basc/computer-science
McMaster University,Computer Science,Mathematics and Computer Science,Bachelor of Mathematics and Computer Science,9.3,7025.46,Hamilton,85-89,true,0,0,0,-1,-1,-1,true,true,https://www.math.mcmaster.ca/undergraduate/undergraduate-programs.html
McMaster University,Engineering,Materials Engineering,Bachelor of Engineering,8.1,13428.92,Hamilton,85-89,true,0,0,0,0,0,-1,true,true,https://www.eng.mcmaster.ca/materials/programs/degree-options/beng
McMaster University,Engineering,Mechanical Engineering,Bachelor of Engineering,8.5,13428.92,Hamilton,85-89,true,0,0,0,0,0,-1,true,true,https://www.eng.mcmaster.ca/mech/programs/degree-options/beng-3
McMaster University,Engineering,Mechatronics Engineering,Bachelor of Engineering,8.4,13428.92,Hamilton,85-89,true,0,0,0,0,0,-1,false,true,https://www.eng.mcmaster.ca/cas/programs/degree-options/beng/mechatronics
McMaster University,Engineering,Software Engineering,Bachelor of Engineering,8.8,13428.92,Hamilton,85-89,true,0,0,0,0,0,-1,true,true,https://www.eng.mcmaster.ca/cas/programs/degree-options/beng/software-engineering
McMaster University,Engineering,Technology,Bachelor of Technology,8.4,8955.96,Hamilton,85-89,false,0,0,0,0,0,-1,false,true,https://future.mcmaster.ca/programs/bachelor-of-technology/
McMaster University,Engineering,Computer Engineering,Bachelor of Engineering,8.5,13428.92,Hamilton,85-89,true,0,0,0,0,0,-1,true,true,https://www.eng.mcmaster.ca/ece/programs/degree-options/beng/computer-engineering
McMaster University,Engineering,Electrical Engineering,Bachelor of Engineering,7.5,13428.92,Hamilton,85-89,true,0,0,0,0,0,-1,true,true,https://www.eng.mcmaster.ca/ece/programs/degree-options/beng/electrical-engineering
McMaster University,Engineering,Electrical Engineering and Biomedical Engineering,Bachelor of Engineering,8.5,13428.92,Hamilton,85-89,true,0,0,0,0,0,-1,true,true,https://www.eng.mcmaster.ca/ece/programs/degree-options/bengbme/electrical-engineering-and-biomedical-engineering
McMaster University,Engineering,Engineering Physics,Bachelor of Engineering,8.5,13428.92,Hamilton,85-89,true,0,0,0,0,0,-1,true,true,https://www.eng.mcmaster.ca/engphys/programs/degree-options/beng-1
McMaster University ,Engineering,Automation Engineering Technology,Bachelor of Technology,7.5,8955.96,Hamilton,80-84,false,0,0,0,0,0,-1,true,true,https://www.eng.mcmaster.ca/sept/programs/degree-options/btech/automation-engineering-technology
McMaster University ,Engineering,Chemical Engineering and Bioengineering,Bachelor of Technology,8,13428.92,Hamilton,85-89,false,0,0,0,0,0,-1,true,true,https://www.eng.mcmaster.ca/chemeng/programs/degree-options/bengbiosciences/bioengineering
Nipissing University,Computer Science,Computer Science,Bachelor of Arts,4.5,8740.53,North Bay,70-74,true,0,0,0,-1,-1,-1,false,true,https://www.nipissingu.ca/academics/faculty-arts-and-science/computer-science
Nipissing University,Mathematics,Mathematics,Bachelor of Arts,4.1,7245.81,North Bay,70-74,true,0,0,0,-1,-1,-1,false,false,https://www.nipissingu.ca/academics/faculty-arts-and-science/mathematics
Queen's University,Computer Science,Computer Science,Bachelor of Computing,7.3,7548.61,Kingston,80-84,true,0,0,0,-1,-1,-1,false,false,https://www.cs.queensu.ca/students/undergraduate/computing/
Queen's University,Mathematics,Statistics,Bachelor of Science,8.3,7220.71,Kingston,80-84,false,0,0,0,0,0,-1,false,true,https://www.queensu.ca/mathstat/undergraduate/prospective-undergraduate/stats
Queen's University,Mathematics,Mathematics (Science),Bachelor of Science,7.2,7220.71,Kingston,80-84,false,0,0,0,0,0,-1,false,true,https://www.queensu.ca/mathstat/undergraduate/prospective-undergraduate/math
Queen's University,Engineering,Geological Engineering,Bachelor of Science in Engineering,7.5,13163.47,Kingston,85-89,true,70,0,0,0,0,-1,false,true,https://engineering.queensu.ca/programs/undergraduate/geological-engineering.html
Queen's University,Engineering,Mathematics and Engineering,Bachelor of Science in Engineering,8.5,13163.47,Kingston,85-89,true,70,70,70,70,70,-1,false,true,https://www.queensu.ca/mathstat/mthe
Queen's University,Engineering,Mechanical and Materials Engineering,Bachelor of Science in Engineering,8.3,13163.47,Kingston,85-89,true,70,70,70,70,70,-1,false,true,https://me.queensu.ca/Undergraduate/Prospective-Undergraduate.html
Queen's University,Engineering,Mechatronics and Robotics Engineering,Bachelor of Science in Engineering,8.2,13163.47,Kingston,85-89,true,70,0,0,0,0,-1,false,true,https://engineering.queensu.ca/programs/undergraduate/mre/index.html
Queen's University,Engineering,Mining Engineering,Bachelor of Science in Engineering,7.4,9390.98,Kingston,85-89,true,70,0,0,0,0,-1,false,true,https://mine.queensu.ca/Undergraduate-Studies/undergraduate-program.html
Queen's University,Engineering,Software Design,Bachelor of Computing,8.1,7548.61,Kingston,80-84,false,0,0,0,0,0,-1,false,true,https://www.cs.queensu.ca/applicants/undergraduate/ssp/softwaredesign/
Queen's University,Engineering,Chemical Engineering,Bachelor of Science in Engineering,7,13163.47,Kingston,80-84,false,70,70,70,70,70,-1,false,true,https://chemeng.queensu.ca/undergraduate-studies/chemical-engineering.html
Queen's University,Engineering,Civil Engineering,Bachelor of Science in Engineering,7.5,13163.47,Kingston,85-89,true,0,0,0,0,0,-1,false,true,https://civil.queensu.ca/Undergraduate-Studies/
Queen's University,Engineering,Computer Engineering,Bachelor of Science in Engineering,8,13163.47,Kingston,85-89,true,0,0,0,0,0,-1,false,true,https://engineering.queensu.ca/programs/undergraduate/computer-engineering.html
Queen's University,Engineering,Engineering Chemistry,Bachelor of Science in Engineering,8,13163.47,Kingston,85-89,true,0,0,0,,0,-1,true,true,https://chemeng.queensu.ca/undergraduate-studies/engineering-chemistry.html
